datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,25,1,False,False,0,1636.7551826258639,192.04756302521008,240057.0285714286,143565023.0,0.0
100,25,1,False,False,1,1632.1935932455922,185.34,231674.0050420168,138431707.0,0.0
100,25,1,False,False,2,1761.51137354895,182.97361344537816,228715.75462184873,136594853.0,0.0
100,25,1,False,False,3,1653.5463267899281,185.25117845117845,231563.98316498316,138178653.0,0.0
100,25,25,True,True,0,12861.10120240481,336.61478991596636,420755.86218487396,252026202.0,2840914440.0
100,25,25,True,True,1,12132.628099173553,337.6890756302521,422103.24705882353,252851499.0,2792648621.0
100,25,25,True,True,2,12976.81420233463,339.90773109243696,424880.9008403361,254181115.0,2793876993.0
100,25,25,True,True,3,12164.244376278119,338.18033613445374,422703.9294117647,253357583.0,2809621900.0
100,25,25,True,False,0,3833.3736195040633,535.7504201680672,669680.2756302521,400079502.0,280762809.0
100,25,25,True,False,1,4089.4695589645253,513.6549579831932,642054.0655462185,383637605.0,289168994.0
100,25,25,True,False,2,3802.570702794242,517.4010084033613,646727.3680672268,386621706.0,295841738.0
100,25,25,True,False,3,4252.685051037208,514.9206722689075,643638.6487394958,384741991.0,301096519.0
100,25,25,False,True,0,12560.205760464152,449.19899328859054,561488.9110738256,335787051.0,0.0
100,25,25,False,True,1,13031.884559585493,445.5157718120806,556895.0067114094,332831950.0,0.0
100,25,25,False,True,2,13607.17051727663,453.2463087248323,566540.1543624161,338585468.0,0.0
100,25,25,False,True,3,12669.176722380758,453.6464765100672,567041.7718120805,338983518.0,0.0
100,25,25,False,False,0,9106.009947337625,457.3795302013423,571711.5469798658,341777259.0,0.0
100,25,25,False,False,1,8876.282638215325,460.56879194630875,575706.6258389262,344194940.0,0.0
100,25,25,False,False,2,9071.196632475325,457.21963087248315,571514.2550335571,341793619.0,0.0
100,25,25,False,False,3,8828.88949100058,459.41728187919466,574255.0872483222,343489558.0,0.0
100,25,50,True,True,0,14317.919310970081,540.4546218487395,675535.0840336134,404646170.0,4236027485.0
100,25,50,True,True,1,14845.688139059304,540.4255462184875,675501.850420168,404669792.0,3944354884.0
100,25,50,True,True,2,11624.417647058823,538.2040336134454,672742.6420168068,402725151.0,4012895883.0
100,25,50,True,True,3,12588.493333333334,557.2947899159665,696604.3512605042,416955172.0,4129100696.0
100,25,50,True,False,0,4005.6328492097396,629.1242016806723,786364.7663865546,469831129.0,90354340.0
100,25,50,True,False,1,3624.9884353741495,635.6560402684564,794539.9228187919,475734824.0,83468792.0
100,25,50,True,False,2,3940.7169644826827,631.8490756302522,789779.3596638655,472194375.0,80687239.0
100,25,50,True,False,3,3610.957677819632,635.736974789916,794642.0352941176,474878880.0,78605633.0
100,25,50,False,True,0,26308.703840472674,480.0137583892617,599997.211409396,358184816.0,0.0
